ENTITY_ID,Operator,12 Month Cum BOE (20:1),Lat,Long,Bakken, Lateral Length ,Slickwater,"Proppant, mmlbs","Fluid, mbbl"
128213489,Whiting,"57,000",48.2,-102.5,0," 9,548 ",0, 2.0 , 30.3 
128593977,Hess,"131,000",47.9,-102.9,1," 9,425 ",0, 2.0 , 30.0 
128497114,Hess,"89,000",48.3,-102.6,0," 9,769 ",0, 2.0 , 34.0 
128667023,Whiting,"114,000",48.1,-103.3,1," 9,833 ",0, 2.1 , 44.0 
128226142,Whiting,"184,000",48.1,-102.4,1," 10,324 ",0, 2.2 , 34.5 
128667644,Newfield,"63,000",48.0,-103.0,0," 8,911 ",0, 1.9 , 49.5 
128915086,Hess,"47,000",48.3,-102.8,1," 9,648 ",0, 2.0 , 33.3 
128915055,Hess,"38,000",47.6,-103.0,1," 9,649 ",0, 2.0 , 49.9 
128593230,Hess,"114,000",47.9,-102.9,0," 9,491 ",0, 2.0 , 33.7 
126206965,Whiting,"115,000",48.0,-102.5,1," 6,871 ",0, 1.4 , 43.0 
128637122,Hess,"175,000",47.8,-102.9,0," 9,948 ",0, 2.1 , 32.6 
128261730,Hess,"143,000",48.3,-102.7,1," 9,671 ",0, 2.0 , 44.3 
128213237,Hess,"73,000",48.2,-102.8,1," 10,886 ",0, 2.3 , 37.9 
128667040,Hess,"104,000",48.3,-102.9,1," 9,667 ",0, 2.0 , 35.0 
128801802,Hess,"109,000",47.8,-103.4,1," 9,334 ",0, 2.0 , 36.7 
128349618,Whiting,"54,000",48.1,-102.6,0," 8,126 ",0, 1.7 , 25.6 
128575367,Hess,"107,000",48.2,-102.7,0," 9,064 ",0, 1.9 , 35.9 
128213024,Whiting,"115,000",48.0,-102.4,1," 8,437 ",0, 1.8 , 24.7 
128953079,Hess,"76,000",48.0,-102.8,0," 10,837 ",0, 2.3 , 35.7 
128667145,QEP,"95,000",47.8,-102.8,0," 9,814 ",0, 2.1 , 61.0 
128497514,Hess,"73,000",48.1,-102.6,0," 9,437 ",0, 2.0 , 35.5 
128359385,Whiting,"71,000",48.2,-102.5,0," 8,999 ",0, 1.9 , 28.8 
128953015,Hess,"103,000",48.0,-102.8,0," 10,881 ",0, 2.3 , 37.9 
128593634,Whiting,"92,000",48.1,-102.4,1," 9,726 ",0, 2.1 , 28.4 
128243549,Whiting,"81,000",48.3,-102.6,1," 10,284 ",0, 2.2 , 33.1 
128943899,Hess,"99,000",48.0,-102.8,0," 10,802 ",0, 2.3 , 37.9 
128545604,Whiting,"80,000",48.0,-102.3,1," 6,498 ",0, 1.4 , 26.3 
128479426,Hess,"69,000",48.2,-102.6,1," 9,460 ",0, 2.0 , 34.2 
128261128,Continental,"152,000",47.5,-102.8,0," 9,538 ",0, 2.0 , 57.5 
128349161,Hess,"44,000",48.3,-102.8,1," 9,390 ",0, 2.0 , 33.8 
127870355,Whiting,"8,000",48.0,-103.4,0," 9,069 ",0, 1.9 , 47.2 
129026977,Hess,"101,000",48.0,-102.8,0," 7,245 ",0, 1.6 , 24.4 
128611033,Hess,"133,000",47.6,-103.0,0," 9,412 ",0, 2.0 , 42.8 
128479392,Hess,"61,000",48.2,-102.6,0," 9,375 ",0, 2.0 , 32.5 
128628841,Hess,"124,000",47.6,-103.0,1," 9,379 ",0, 2.0 , 48.5 
128545598,Hess,"72,000",48.1,-103.3,1," 9,400 ",0, 2.0 , 33.9 
128530640,Whiting,"124,000",48.1,-102.4,1," 9,126 ",0, 2.0 , 24.6 
128199793,Hess,"157,000",48.1,-102.8,1," 9,308 ",0, 2.0 , 36.7 
128637200,Continental,"43,000",48.0,-103.4,0," 9,555 ",0, 2.1 , 43.0 
128275629,XTO,"61,000",47.8,-103.2,0," 9,029 ",0, 2.0 , 46.1 
128275441,Hess,"110,000",47.6,-103.0,1," 8,651 ",0, 1.9 , 47.5 
128479888,Hess,"83,000",48.1,-102.6,1," 9,338 ",0, 2.0 , 32.3 
128132568,Whiting,"124,000",48.0,-102.4,1," 8,429 ",0, 1.8 , 24.3 
128629191,Hess,"112,000",47.6,-103.0,0," 9,318 ",0, 2.0 , 46.3 
128243586,QEP,"117,000",47.8,-102.4,0," 10,428 ",0, 2.3 , 52.7 
128359468,Hess,"112,000",48.1,-103.3,1," 9,503 ",0, 2.1 , 32.7 
129014903,Hess,"183,000",48.0,-102.9,0," 10,978 ",0, 2.4 , 40.2 
128243447,Hess,"105,000",48.3,-102.7,1," 9,304 ",0, 2.0 , 40.5 
128667554,Hess,"98,000",48.3,-102.9,0," 9,258 ",0, 2.0 , 36.3 
129042982,Hess,"83,000",48.2,-102.8,0," 8,894 ",0, 1.9 , 32.4 
128335304,Whiting,"113,000",48.2,-102.6,1," 9,300 ",0, 2.0 , 28.8 
128732019,Hess,"116,000",48.0,-103.3,1," 10,143 ",0, 2.2 , 36.2 
128561873,Hess,"85,000",48.1,-102.6,0," 9,914 ",0, 2.2 , 39.3 
128901056,Hess,"33,000",48.1,-103.3,0," 10,117 ",0, 2.2 , 42.4 
128359416,Hess,"97,000",48.1,-103.3,1," 9,140 ",0, 2.0 , 29.6 
128667143,Hess,"153,000",47.9,-102.9,1," 9,324 ",0, 2.1 , 32.4 
128212910,ConocoPhillips,"127,000",48.0,-103.0,0," 10,527 ",0, 2.3 , 36.2 
128517071,Hess,"115,000",48.2,-102.7,1," 9,249 ",0, 2.0 , 36.1 
128628742,Hess,"124,000",47.6,-103.0,1," 9,198 ",0, 2.0 , 42.2 
